Recorte,Código IBGE,Município,Unidade de Gerenciamento de Recursos Hídricos (UGRHI) ,Região Administrativa,Região de Governo,Região Metropolitana,Aglomerações Urbanas
EMPLASA e DAEE,3524907,Jambeiro,02 - Paraíba do Sul,Região Administrativa de São José dos Campos,Região de Governo de São José dos Campos,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
EMPLASA e DAEE,3526308,Lagoinha,02 - Paraíba do Sul,Região Administrativa de São José dos Campos,Região de Governo de Taubaté,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
DAEE,3506904,Bofete,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Botucatu,-,-
EMPLASA e DAEE,3526605,Lavrinhas,02 - Paraíba do Sul,Região Administrativa de São José dos Campos,Região de Governo de Cruzeiro,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
EMPLASA e DAEE,3527207,Lorena,02 - Paraíba do Sul,Região Administrativa de São José dos Campos,Região de Governo de Guaratinguetá,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
DAEE,3507506,Botucatu,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Botucatu,-,-
EMPLASA e DAEE,3531704,Monteiro Lobato,02 - Paraíba do Sul,Região Administrativa de São José dos Campos,Região de Governo de São José dos Campos,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
EMPLASA e DAEE,3532306,Natividade da Serra,02 - Paraíba do Sul,Região Administrativa de São José dos Campos,Região de Governo de Taubaté,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
EMPLASA e DAEE,3535606,Paraibuna,02 - Paraíba do Sul,Região Administrativa de São José dos Campos,Região de Governo de São José dos Campos,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
EMPLASA e DAEE,3538006,Pindamonhangaba,02 - Paraíba do Sul,Região Administrativa de São José dos Campos,Região de Governo de Taubaté,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
EMPLASA e DAEE,3538501,Piquete,02 - Paraíba do Sul,Região Administrativa de São José dos Campos,Região de Governo de Guaratinguetá,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
EMPLASA e DAEE,3540754,Potim,02 - Paraíba do Sul,Região Administrativa de São José dos Campos,Região de Governo de Guaratinguetá,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
DAEE,3110509,Camanducaia,MG ,MG,MG,MG,MG
EMPLASA e DAEE,3541901,Queluz,02 - Paraíba do Sul,Região Administrativa de São José dos Campos,Região de Governo de Cruzeiro,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
EMPLASA e DAEE,3542305,Redenção da Serra,02 - Paraíba do Sul,Região Administrativa de São José dos Campos,Região de Governo de Taubaté,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
EMPLASA e DAEE,3544301,Roseira,02 - Paraíba do Sul,Região Administrativa de São José dos Campos,Região de Governo de Guaratinguetá,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
EMPLASA e DAEE,3546009,Santa Branca,02 - Paraíba do Sul,Região Administrativa de São José dos Campos,Região de Governo de São José dos Campos,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
EMPLASA e DAEE,3546801,Santa Isabel,02 - Paraíba do Sul,-,-,Região Metropolitana de São Paulo,-
EMPLASA,3549607,São José do Barreiro,02 - Paraíba do Sul,Região Administrativa de São José dos Campos,Região de Governo de Cruzeiro,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
EMPLASA e DAEE,3549904,São José dos Campos,02 - Paraíba do Sul,Região Administrativa de São José dos Campos,Região de Governo de São José dos Campos,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
EMPLASA e DAEE,3550001,São Luís do Paraitinga,02 - Paraíba do Sul,Região Administrativa de São José dos Campos,Região de Governo de Taubaté,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
EMPLASA e DAEE,3552007,Silveiras,02 - Paraíba do Sul,Região Administrativa de São José dos Campos,Região de Governo de Cruzeiro,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
EMPLASA e DAEE,3554102,Taubaté,02 - Paraíba do Sul,Região Administrativa de São José dos Campos,Região de Governo de Taubaté,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
EMPLASA e DAEE,3554805,Tremembé,02 - Paraíba do Sul,Região Administrativa de São José dos Campos,Região de Governo de Taubaté,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
EMPLASA e DAEE,3510500,Caraguatatuba,03 - Litoral Norte,Região Administrativa de São José dos Campos,Região de Governo de Caraguatatuba,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
DAEE,3512308,Conchas,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Botucatu,-,-
EMPLASA,3520400,Ilhabela,03 - Litoral Norte,Região Administrativa de São José dos Campos,Região de Governo de Caraguatatuba,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
EMPLASA e DAEE,3550704,São Sebastião,03 - Litoral Norte,Região Administrativa de São José dos Campos,Região de Governo de Caraguatatuba,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
EMPLASA e DAEE,3555406,Ubatuba,03 - Litoral Norte,Região Administrativa de São José dos Campos,Região de Governo de Caraguatatuba,Região Metropolitana do Vale do Paraíba e Litoral Norte,-
EMPLASA e DAEE,3500600,Águas de São Pedro,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Piracicaba,-,Aglomeração Urbana de Piracicaba
EMPLASA e DAEE,3501608,Americana,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-
EMPLASA e DAEE,3502002,Analândia,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Rio Claro,-,Aglomeração Urbana de Piracicaba
EMPLASA e DAEE,3503802,Artur Nogueira,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-
EMPLASA e DAEE,3504107,Atibaia,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Bragança Paulista,-,-
EMPLASA e DAEE,3507100,Bom Jesus dos Perdões,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Bragança Paulista,-,-
EMPLASA e DAEE,3507605,Bragança Paulista,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Bragança Paulista,-,-
EMPLASA e DAEE,3510401,Capivari,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Piracicaba,-,Aglomeração Urbana de Piracicaba
EMPLASA e DAEE,3511706,Charqueada,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Piracicaba,-,Aglomeração Urbana de Piracicaba
DAEE,3125101,Extrema,MG ,MG,MG,MG,MG
EMPLASA e DAEE,3512407,Cordeirópolis,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Limeira,-,Aglomeração Urbana de Piracicaba
EMPLASA e DAEE,3512704,Corumbataí,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Rio Claro,-,Aglomeração Urbana de Piracicaba
EMPLASA e DAEE,3512803,Cosmópolis,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-
EMPLASA e DAEE,3514908,Elias Fausto,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Piracicaba,-,Aglomeração Urbana de Piracicaba
EMPLASA e DAEE,3519055,Holambra,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-
EMPLASA e DAEE,3519071,Hortolândia,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-
EMPLASA e DAEE,3520509,Indaiatuba,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-
EMPLASA e DAEE,3521101,Ipeúna,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Rio Claro,-,Aglomeração Urbana de Piracicaba
EMPLASA e DAEE,3521408,Iracemápolis,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Limeira,-,Aglomeração Urbana de Piracicaba
EMPLASA e DAEE,3523404,Itatiba,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Jundiaí,Região Metropolitana de Campinas,-
EMPLASA e DAEE,3524006,Itupeva,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Jundiaí,-,Aglomeração Urbana de Jundiaí
EMPLASA e DAEE,3524709,Jaguariúna,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-
EMPLASA e DAEE,3525201,Jarinu,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Jundiaí,-,Aglomeração Urbana de Jundiaí
EMPLASA e DAEE,3525508,Joanópolis,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Bragança Paulista,-,-
EMPLASA e DAEE,3525904,Jundiaí,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Jundiaí,-,Aglomeração Urbana de Jundiaí
EMPLASA e DAEE,3526902,Limeira,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Limeira,-,Aglomeração Urbana de Piracicaba
EMPLASA e DAEE,3527306,Louveira,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Jundiaí,-,Aglomeração Urbana de Jundiaí
EMPLASA e DAEE,3530904,Mombuca,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Piracicaba,-,Aglomeração Urbana de Piracicaba
EMPLASA e DAEE,3531803,Monte Mor,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-
DAEE,3133600,Itapeva,MG ,MG,MG,MG,MG
EMPLASA e DAEE,3532009,Morungaba,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Jundiaí,Região Metropolitana de Campinas,-
EMPLASA e DAEE,3532405,Nazaré Paulista,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Bragança Paulista,-,-
EMPLASA e DAEE,3533403,Nova Odessa,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-
EMPLASA e DAEE,3536505,Paulínia,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-
EMPLASA e DAEE,3536802,Pedra Bela,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Bragança Paulista,-,-
EMPLASA e DAEE,3537107,Pedreira,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-
EMPLASA e DAEE,3538204,Pinhalzinho,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Bragança Paulista,-,-
EMPLASA e DAEE,3538600,Piracaia,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Bragança Paulista,-,-
EMPLASA e DAEE,3538709,Piracicaba,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Piracicaba,-,Aglomeração Urbana de Piracicaba
EMPLASA e DAEE,3542107,Rafard,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Piracicaba,-,Aglomeração Urbana de Piracicaba
EMPLASA e DAEE,3543907,Rio Claro,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Rio Claro,-,Aglomeração Urbana de Piracicaba
EMPLASA e DAEE,3544004,Rio das Pedras,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Piracicaba,-,Aglomeração Urbana de Piracicaba
EMPLASA e DAEE,3545159,Saltinho,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Piracicaba,-,Aglomeração Urbana de Piracicaba
EMPLASA e DAEE,3545209,Salto,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3545803,Santa Bárbara d'Oeste,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-
